DATE,ALLSKY_KT,T2M,PRECTOTCORR,PS,WS10M,Status
8/30/2017,0.52,19.76,0.26,87.83,0.38,TIDAK BERPOTENSI UPWELLING
8/31/2017,0.55,20.61,2.8,87.82,0.62,TIDAK BERPOTENSI UPWELLING
9/1/2017,0.38,18.93,5.69,87.93,0.72,TIDAK BERPOTENSI UPWELLING
9/2/2017,0.5,20.58,0.79,87.8,0.66,TIDAK BERPOTENSI UPWELLING
9/3/2017,0.4,19.97,1.54,87.88,0.77,TIDAK BERPOTENSI UPWELLING
9/4/2017,0.42,20.08,2.5,87.85,0.84,TIDAK BERPOTENSI UPWELLING
9/5/2017,0.44,20.09,17,87.8,0.4,TIDAK BERPOTENSI UPWELLING
9/6/2017,0.41,19.69,29.42,87.84,0.69,BERPOTENSI UPWELLING
9/7/2017,0.45,19.22,2.45,87.82,0.61,TIDAK BERPOTENSI UPWELLING
9/8/2017,0.46,19.73,0.73,87.79,0.54,TIDAK BERPOTENSI UPWELLING
9/9/2017,0.3,20.05,1.09,87.79,0.58,TIDAK BERPOTENSI UPWELLING
9/10/2017,0.41,20.3,3.11,87.77,0.46,TIDAK BERPOTENSI UPWELLING
9/11/2017,0.41,19.47,4.26,87.89,0.45,TIDAK BERPOTENSI UPWELLING
9/12/2017,0.52,20.75,17.33,87.89,0.44,TIDAK BERPOTENSI UPWELLING
9/13/2017,0.49,19.85,12.7,87.93,0.65,TIDAK BERPOTENSI UPWELLING
9/14/2017,0.45,19.15,8.66,87.85,1.11,TIDAK BERPOTENSI UPWELLING
9/15/2017,0.26,17.76,13.95,87.88,1.47,TIDAK BERPOTENSI UPWELLING
9/16/2017,0.47,19.26,0.99,87.88,0.8,TIDAK BERPOTENSI UPWELLING
9/17/2017,0.52,19.6,0.4,88.01,0.7,TIDAK BERPOTENSI UPWELLING
9/18/2017,0.34,19.83,10.53,88.04,0.7,TIDAK BERPOTENSI UPWELLING
9/19/2017,0.35,19.26,2.75,88.02,0.99,TIDAK BERPOTENSI UPWELLING
9/20/2017,0.41,19.58,0.85,87.93,1.04,TIDAK BERPOTENSI UPWELLING
9/21/2017,0.3,18.84,0.25,87.87,1.38,TIDAK BERPOTENSI UPWELLING
9/22/2017,0.56,19.22,0.64,87.85,1.23,TIDAK BERPOTENSI UPWELLING
9/23/2017,0.58,18.68,2.74,87.97,1.3,TIDAK BERPOTENSI UPWELLING
9/24/2017,0.48,18.54,0.98,87.93,1.25,TIDAK BERPOTENSI UPWELLING
9/25/2017,0.59,19.32,0.58,87.84,0.88,TIDAK BERPOTENSI UPWELLING
9/26/2017,0.38,18.61,3.46,87.92,0.93,TIDAK BERPOTENSI UPWELLING
9/27/2017,0.41,20,0.3,87.92,0.77,TIDAK BERPOTENSI UPWELLING
9/28/2017,0.52,20.51,4.35,87.86,0.75,TIDAK BERPOTENSI UPWELLING
9/29/2017,0.35,19.23,15.8,87.91,0.96,TIDAK BERPOTENSI UPWELLING
9/30/2017,0.38,19.04,0.89,87.99,0.7,TIDAK BERPOTENSI UPWELLING
10/1/2017,0.45,18.8,6.25,87.9,0.66,TIDAK BERPOTENSI UPWELLING
10/2/2017,0.55,19.22,0.63,87.82,0.99,TIDAK BERPOTENSI UPWELLING
10/3/2017,0.44,18.49,7.63,87.84,0.91,TIDAK BERPOTENSI UPWELLING
10/4/2017,0.57,19.36,1.64,87.84,0.6,TIDAK BERPOTENSI UPWELLING
